timestamp,bicep,tricep,label
0,2047,3831,fist
15082560,2047,3834,fist
15083569,2047,3842,fist
15084571,2047,3843,fist
15085576,2047,3843,fist
15086579,2047,3846,fist
15087582,2047,3839,fist
15088591,2047,3845,fist
15089592,2047,3846,fist
15090592,2047,3843,fist
15091597,2047,3848,fist
15092603,2047,3855,fist
15093610,2047,3846,fist
15094615,2047,3843,fist
15095625,2047,3835,fist
15096629,2047,3826,fist
15097635,2047,3790,fist
15098643,2047,3770,fist
15099646,2047,3753,fist
15100646,2047,3754,fist
15101649,2047,3759,fist
15102652,2047,3798,fist
15103652,2047,3831,fist
15104656,2047,3839,fist
15105663,2047,3847,fist
15106668,2047,3854,fist
15107677,2047,3847,fist
15108677,2047,3852,fist
15109679,2047,3846,fist
15110682,2047,3834,fist
15111683,2047,3811,fist
15112689,2047,3803,fist
15113693,2047,3787,fist
15114694,2047,3778,fist
15115694,2047,3763,fist
15116704,2047,3775,fist
15117712,2047,3775,fist
15118719,2047,3780,fist
15119729,2047,3803,fist
15120730,2047,3818,fist
15121734,2047,3833,fist
15122738,2047,3835,fist
15123741,2047,3831,fist
15124746,2047,3819,fist
15125748,2047,3845,fist
15126756,2047,3835,fist
15127759,2047,3836,fist
15128767,2047,3834,fist
15129776,2047,3827,fist
15130784,2047,3823,fist
15131784,2047,3827,fist
15132789,2047,3834,fist
15133795,2047,3843,fist
15134799,2047,3846,fist
15135803,2047,3843,fist
15136808,1023,2047,fist
15137814,2047,2047,fist
15138821,1023,2047,fist
15139824,1023,2047,fist
15140828,1023,2047,fist
15141830,1023,2047,fist
15142831,1023,2047,fist
15143834,2047,2047,fist
15144835,2047,2047,fist
15145838,2047,3854,fist
15146845,2047,3851,fist
15147851,2047,3845,fist
15148857,2047,3846,fist
15149863,2047,3850,fist
15150868,2047,3848,fist
15151876,2047,3846,fist
15152880,2047,3845,fist
15153883,2047,3850,fist
15154892,2047,3842,fist
15155894,2047,3827,fist
15156897,2047,3787,fist
15157904,2047,3733,fist
15158907,2047,3664,fist
15159914,3406,3594,fist
15160924,3403,3567,fist
15161931,3398,3570,fist
15162931,3391,3560,fist
15163932,3404,3567,fist
15164934,3408,3583,fist
15165940,3412,3608,fist
15166944,2047,3680,fist
15167944,2047,3729,fist
15168953,2047,3791,fist
15169959,2047,3820,fist
15170960,2047,3842,fist
15171962,2047,3839,fist
15172965,2047,3859,fist
15173971,2047,2047,fist
15174980,1023,2047,fist
15175989,1023,2047,fist
15176992,1023,2047,fist
15177994,2047,2047,fist
15179001,2047,2047,fist
15180007,2047,3850,fist
15181012,2047,3843,fist
15182012,2047,3839,fist
15183013,2047,3829,fist
15184013,2047,3799,fist
15185023,2047,3771,fist
15186030,2047,3727,fist
15187040,2047,3674,fist
15188040,3406,3599,fist
15189043,3405,3583,fist
15190053,3398,3567,fist
15191056,3398,3552,fist
15192063,3402,3549,fist
15193066,3397,3563,fist
15194068,3405,3582,fist
15195076,2047,3643,fist
15196076,2047,3718,fist
15197079,2047,3794,fist
15198085,2047,3833,fist
15199087,2047,3851,fist
15200095,2047,2047,fist
15201105,1023,2047,fist
15202105,511,2047,fist
15203114,3135,4032,fist
15204115,3584,4095,fist
15205129,3584,4095,fist
15206137,3584,4095,fist
15207146,3135,4032,fist
15208148,511,2047,fist
15209152,1023,2047,fist
15210159,2047,3854,fist
15211160,2047,3824,fist
15212162,2047,3765,fist
15213167,2047,3675,fist
15214172,3392,3568,fist
15215177,3375,3502,fist
15216180,3379,3457,fist
15217188,3368,3431,fist
15218197,3350,3418,fist
15219202,3362,3411,fist
15220211,3362,3423,fist
15221213,3378,3462,fist
15222221,3394,3556,fist
15223230,2047,3709,fist
15224234,2047,3835,fist
15225239,2047,2047,fist
15226246,511,2047,fist
15227248,2175,3584,fist
15228254,3840,4095,fist
15229262,3968,4095,fist
15230264,3968,4095,fist
15231273,3584,4095,fist
15232278,511,2047,fist
15233288,2047,2047,fist
15234293,2047,3805,fist
15235298,3406,3583,fist
15236302,3378,3471,fist
15237306,3357,3411,fist
15238307,3348,3400,fist
15239310,3353,3393,fist
15240310,3370,3422,fist
15241315,3382,3498,fist
15242317,3404,3583,fist
15243317,2047,3747,fist
15244327,2047,3834,fist
15245332,2047,3839,fist
15246340,2047,3844,fist
15247346,2047,2047,fist
15248348,1023,2047,fist
15249358,1023,2047,fist
15250363,2047,2047,fist
15251369,2047,3851,fist
15252376,2047,3842,fist
15253385,2047,3792,fist
15254386,2047,3687,fist
15255388,3410,3602,fist
15256398,3407,3583,fist
15257400,3424,3583,fist
15258403,3414,3590,fist
15259408,2047,3643,fist
15260408,2047,3667,fist
15261418,2047,3691,fist
15262418,2047,3743,fist
15263427,2047,3810,fist
15264427,2047,3856,fist
15265436,2047,3848,fist
15266439,2047,2047,fist
15267447,1023,2047,fist
15268451,1023,2047,fist
15269451,2047,2047,fist
15270457,2047,2047,fist
15271464,2047,3845,fist
15272465,2047,3831,fist
15273466,2047,3828,fist
15274474,2047,3818,fist
15275479,2047,3802,fist
15276488,2047,3804,fist
15277491,2047,3799,fist
15278499,2047,3803,fist
15279507,2047,3781,fist
15280513,2047,3744,fist
15281520,2047,3667,fist
15282523,3393,3568,fist
15283525,3386,3486,fist
15284529,3367,3445,fist
15285537,3363,3432,fist
15286543,3368,3424,fist
15287550,3372,3434,fist
15288550,3382,3466,fist
15289551,3391,3526,fist
15290558,3410,3594,fist
15291558,2047,3742,fist
15292566,2047,3840,fist
15293574,2047,2047,fist
15294583,511,2047,fist
15295583,3584,4095,fist
15296592,4095,4095,fist
15297602,4095,4095,fist
15298606,4095,4095,fist
15299615,4095,4095,fist
15300615,4095,4095,fist
15301615,4095,4095,fist
15302617,4095,4095,fist
15303624,3968,4095,fist
15304631,511,2047,fist
15305634,2047,2047,fist
15306640,2047,3838,fist
15307641,2047,3758,fist
15308646,2047,3646,fist
15309649,3395,3551,fist
15310658,3384,3512,fist
15311666,3386,3500,fist
15312671,3379,3496,fist
15313681,3378,3479,fist
15314691,3379,3466,fist
15315696,3363,3437,fist
15316698,3371,3438,fist
15317699,3390,3490,fist
15318707,3403,3595,fist
15319710,2047,3794,fist
15320714,2047,3850,fist
15321724,2047,2047,fist
15322731,1023,2047,fist
15323739,511,2047,fist
15324745,511,2047,fist
15325749,511,3135,fist
15326751,255,3135,fist
15327756,3135,4032,fist
15328760,3584,4095,fist
15329769,3584,4095,fist
15330771,3135,4064,fist
15331773,511,2047,fist
15332782,2047,3848,fist
15333790,3411,3589,fist
15334799,3370,3427,fist
15335804,3346,3378,fist
15336805,3347,3386,fist
15337808,3375,3438,fist
15338816,3400,3551,fist
15339821,2047,3720,fist
15340826,2047,3823,fist
15341830,2047,3847,fist
15342836,2047,3850,fist
15343845,2047,3848,fist
15344852,2047,3835,fist
15345855,2047,3740,fist
15346859,3399,3535,fist
15347866,3365,3415,fist
15348870,3331,3364,fist
15349874,3319,3331,fist
15350876,3307,3320,fist
15351880,3307,3319,fist
15352889,3319,3335,fist
15353893,3333,3371,fist
15354895,3366,3422,fist
15355897,3391,3533,fist
15356902,2047,3763,fist
15357905,2047,3851,fist
