timestamp,bicep,tricep,label
5692,3830,3822,flex
357106694,3831,3825,flex
357107696,3600,3584,flex
357108696,3208,3196,flex
357109698,3333,3368,flex
357110705,3386,3506,flex
357111709,3397,3583,flex
357112709,2047,3634,flex
357113712,3394,3571,flex
357114721,3367,3459,flex
357115730,3314,3338,flex
357116734,3200,3195,flex
357117739,3481,3469,flex
357118743,3659,3650,flex
357119753,3728,3719,flex
357120754,3681,3667,flex
357121760,3539,3522,flex
357122768,3279,3245,flex
357123770,3293,3303,flex
357124780,3396,3522,flex
357125782,2047,3848,flex
357126783,511,2047,flex
357127787,3584,4095,flex
357128789,4032,4095,flex
357129799,4095,4095,flex
357130805,4095,4095,flex
357131811,3840,4095,flex
357132816,511,2047,flex
357133825,2047,3807,flex
357134835,3377,3447,flex
357135835,3301,3323,flex
357136839,3263,3271,flex
357137842,3285,3295,flex
357138847,3318,3344,flex
357139851,3362,3411,flex
357140851,3382,3482,flex
357141861,3406,3603,flex
357142862,2047,3830,flex
357143872,2047,2047,flex
357144882,511,3135,flex
357145895,3968,4095,flex
357146903,4095,4095,flex
357147905,4095,4095,flex
357148907,4095,4095,flex
357149912,4095,4095,flex
357150912,4093,4095,flex
357151916,2047,3848,flex
357152921,3350,3392,flex
357153923,3200,3189,flex
357154933,3399,3379,flex
357155939,3419,3398,flex
357156941,3235,3205,flex
357157950,3297,3309,flex
357158953,3397,3517,flex
357159956,2047,3848,flex
357160964,511,2047,flex
357161970,3135,4064,flex
357162973,3840,4095,flex
357163973,3840,4095,flex
357164980,511,2047,flex
357165986,2047,3778,flex
357166994,3362,3406,flex
357168000,3256,3267,flex
357169002,3218,3191,flex
357170009,3327,3301,flex
357171018,3362,3338,flex
357172027,3334,3305,flex
357173031,3236,3206,flex
357174039,3238,3265,flex
357175042,3312,3332,flex
357176046,3355,3410,flex
357177053,3377,3446,flex
357178060,3362,3419,flex
357179063,3323,3359,flex
357180067,3278,3300,flex
357181071,3242,3258,flex
357182072,3245,3271,flex
357183078,3296,3310,flex
357184087,3345,3402,flex
357185093,3392,3556,flex
357186102,2047,3560,flex
357187110,2047,3838,flex
357188114,2047,2047,flex
357189127,1023,2047,flex
357190132,511,2047,flex
357191132,511,2047,flex
357192141,1023,2047,flex
357193142,2047,2047,flex
357194152,2047,3815,flex
357195159,3395,3547,flex
357196159,3336,3367,flex
357197160,3251,3266,flex
357198163,3205,3201,flex
357199164,3198,3196,flex
357200167,3264,3264,flex
357201169,3365,3415,flex
357202179,2047,3783,flex
357203187,2047,2047,flex
357204195,511,3135,flex
357205202,3584,4095,flex
357206203,3968,4095,flex
357207207,3968,4095,flex
357208207,3584,4095,flex
357209207,511,3135,flex
357210213,1023,2047,flex
357211216,2047,3850,flex
357212226,2047,3823,flex
357213232,2047,3818,flex
357214239,2047,3831,flex
357215239,2047,3834,flex
357216239,2047,3818,flex
357217239,2047,3679,flex
357218242,3371,3439,flex
357219246,3299,3304,flex
357220246,3199,3199,flex
357221253,3319,3299,flex
357222258,3383,3362,flex
357223265,3317,3289,flex
357224275,3221,3218,flex
357225279,3316,3350,flex
357226280,3391,3498,flex
357227284,2047,3699,flex
357228286,2047,3767,flex
357229291,2047,3695,flex
357230295,3394,3567,flex
357231295,3375,3474,flex
357232303,3363,3419,flex
357233307,3349,3391,flex
357234312,3360,3394,flex
357235312,3362,3427,flex
357236322,3391,3506,flex
357237325,2047,3683,flex
357238329,2047,3843,flex
357239337,511,2047,flex
357240344,3584,4095,flex
357241344,4095,4095,flex
357242345,4095,4095,flex
357243350,4095,4095,flex
357244359,4095,4095,flex
357245362,4095,4095,flex
357246367,4095,4095,flex
357247370,4095,4095,flex
357248380,4095,4095,flex
357249386,2047,3828,flex
357250394,3199,3204,flex
357251398,3751,3745,flex
357252402,4067,4059,flex
357253407,4095,4095,flex
357254407,4095,4095,flex
357255409,4095,4095,flex
357256418,4029,4014,flex
357257425,3879,3866,flex
357258433,3712,3702,flex
357259437,3576,3557,flex
357260442,3458,3440,flex
357261451,3319,3292,flex
357262454,3217,3226,flex
357263455,3312,3327,flex
357264461,3354,3404,flex
357265464,3366,3468,flex
357266467,3387,3529,flex
357267477,3393,3579,flex
357268478,2047,3714,flex
357269480,2047,3818,flex
357270484,2047,3818,flex
357271486,2047,3718,flex
357272491,3407,3581,flex
357273497,3395,3516,flex
357274500,3381,3476,flex
357275502,3370,3446,flex
357276510,3367,3440,flex
357277510,3363,3479,flex
357278517,2047,3680,flex
357279517,2047,3850,flex
357280517,511,2047,flex
357281523,4032,4095,flex
357282529,4095,4095,flex
357283539,4095,4095,flex
357284541,4095,4095,flex
357285549,4095,4095,flex
357286553,4095,4095,flex
357287560,4095,4095,flex
357288561,4095,4095,flex
357289570,511,1535,flex
357290577,2047,3722,flex
357291582,3250,3265,flex
357292582,3696,3700,flex
357293588,4095,4095,flex
357294593,4095,4095,flex
357295602,4095,4095,flex
357296604,4095,4095,flex
357297611,4095,4095,flex
357298617,4095,4095,flex
357299627,4095,4095,flex
357300637,4071,4067,flex
357301638,3860,3847,flex
357302639,3577,3577,flex
357303643,3233,3214,flex
357304650,3292,3311,flex
357305659,3354,3407,flex
357306660,3387,3511,flex
357307667,3398,3570,flex
357308668,3386,3504,flex
357309668,3350,3403,flex
357310674,3316,3340,flex
357311684,3298,3310,flex
357312685,3286,3305,flex
357313689,3298,3316,flex
357314691,3323,3346,flex
357315691,3351,3400,flex
357316691,3377,3468,flex
357317701,3407,3599,flex
357318704,2047,3811,flex
357319712,2047,3859,flex
357320714,511,2047,flex
357321718,511,3135,flex
357322719,3584,4095,flex
357323725,3584,4095,flex
357324731,3584,4095,flex
357325739,3135,3983,flex
357326743,511,3135,flex
357327746,511,1535,flex
357328755,1023,2047,flex
357329763,2047,3847,flex
357330765,2047,3779,flex
357331766,3375,3478,flex
357332766,3311,3329,flex
357333770,3223,3234,flex
357334774,3231,3205,flex
357335781,3263,3236,flex
357336786,3204,3183,flex
357337786,3258,3267,flex
357338790,3339,3367,flex
357339799,3394,3533,flex
357340801,2047,3794,flex
357341807,2047,3848,flex
357342809,2047,2047,flex
357343810,2047,3846,flex
357344812,2047,3834,flex
357345817,2047,3817,flex
357346825,2047,3812,flex
357347826,2047,3841,flex
357348832,2047,2047,flex
357349840,511,2047,flex
357350841,3135,4064,flex
357351843,4032,4095,flex
357352844,4095,4095,flex
357353848,4095,4095,flex
357354848,4095,4095,flex
357355856,4095,4095,flex
357356856,4095,4095,flex
357357859,4095,4095,flex
357358865,4095,4095,flex
357359875,4095,4095,flex
357360885,4095,4095,flex
357361888,4032,4095,flex
357362891,2047,3835,flex
357363896,3383,3507,flex
357364902,3311,3335,flex
357365906,3240,3239,flex
357366914,3220,3201,flex
357367921,3379,3360,flex
357368926,3525,3520,flex
357369926,3607,3598,flex
357370927,3634,3626,flex
357371927,3607,3598,flex
357372929,3560,3542,flex
357373931,3504,3484,flex
357374935,3452,3435,flex
357375939,3349,3322,flex
357376947,3211,3224,flex
357377952,3323,3347,flex
357378960,3391,3559,flex
357379968,2047,3842,flex
357380971,1023,2047,flex
357381971,3135,3982,flex
357382973,3584,4095,flex
357383982,511,1535,flex
357384982,2047,3832,flex
357385992,3382,3470,flex
357386999,3263,3275,flex
357388002,3262,3229,flex
357389006,3414,3390,flex
357390013,3427,3404,flex
357391023,3241,3212,flex
357392029,3314,3327,flex
357393035,2047,3704,flex
357394041,1023,2047,flex
357395044,3968,4095,flex
357396049,4095,4095,flex
357397053,4095,4095,flex
357398058,4095,4095,flex
357399060,4095,4095,flex
357400070,4095,4095,flex
357401071,4095,4095,flex
357402072,4088,4095,flex
357403074,1023,2047,flex
357404081,3314,3323,flex
357405085,3653,3649,flex
357406089,4095,4094,flex
357407099,4095,4095,flex
357408102,4095,4095,flex
357409103,4095,4095,flex
357410104,4095,4095,flex
357411108,4095,4095,flex
357412123,4095,4095,flex
357413127,3985,3967,flex
357414133,3744,3731,flex
357415140,3496,3473,flex
357416147,3222,3200,flex
357417154,3272,3278,flex
357418156,3323,3356,flex
357419158,3354,3412,flex
357420166,3375,3463,flex
357421171,3403,3562,flex
357422176,2047,3699,flex
357423180,2047,3827,flex
357424185,2047,2047,flex
357425191,511,1535,flex
357426196,3584,4095,flex
357427204,4095,4095,flex
357428210,4095,4095,flex
357429216,4095,4095,flex
357430218,4095,4095,flex
357431224,4095,4095,flex
357432233,4095,4095,flex
357433235,4095,4095,flex
357434245,4095,4095,flex
357435253,3968,4095,flex
357436259,3135,3970,flex
357437266,1023,2047,flex
357438267,2047,3659,flex
357439274,3248,3258,flex
357440281,3583,3578,flex
357441285,3916,3906,flex
357442286,4095,4088,flex
357443286,4095,4095,flex
357444295,4059,4046,flex
357445301,3761,3747,flex
357446311,3251,3216,flex
357447315,3374,3449,flex
357448319,2047,3850,flex
357449324,511,2047,flex
357450330,3584,4095,flex
357451335,3968,4095,flex
357452341,3968,4095,flex
357453348,511,2047,flex
357454350,2047,3795,flex
357455352,3370,3427,flex
357456355,3292,3303,flex
357457362,3248,3269,flex
357458362,3258,3273,flex
357459365,3315,3327,flex
357460370,3383,3495,flex
357461375,2047,3850,flex
357462377,1023,2047,flex
357463385,511,2047,flex
357464388,511,3135,flex
357465397,511,2047,flex
357466402,511,1535,flex
357467410,1023,2047,flex
357468412,2047,3824,flex
357469417,3363,3427,flex
357470417,3215,3201,flex
357471420,3636,3632,flex
357472426,3891,3882,flex
357473428,3988,3984,flex
357474431,3943,3930,flex
357475441,3759,3743,flex
357476444,3448,3427,flex
357477448,3247,3265,flex
357478452,3373,3454,flex
357479454,2047,3777,flex
357480464,2047,3843,flex
357481465,2047,2047,flex
357482472,2047,3850,flex
357483481,2047,3838,flex
357484483,2047,3848,flex
357485491,2047,3846,flex
357486492,2047,3839,flex
357487498,2047,3848,flex
357488503,2047,3850,flex
357489505,2047,3852,flex
357490515,2047,3846,flex
357491525,2047,3789,flex
357492527,3405,3583,flex
357493532,3383,3491,flex
357494541,3376,3459,flex
357495546,3398,3535,flex
357496549,2047,3814,flex
357497559,1023,2047,flex
357498562,3584,4095,flex
357499568,4095,4095,flex
357500573,4095,4095,flex
357501580,4095,4095,flex
357502588,4095,4095,flex
357503596,4095,4095,flex
357504596,4095,4095,flex
357505598,4095,4095,flex
357506602,4095,4095,flex
357507611,2047,3724,flex
357508616,3233,3244,flex
357509617,3568,3560,flex
357510623,3814,3806,flex
357511625,3887,3871,flex
357512628,3778,3768,flex
357513634,3542,3527,flex
357514638,3221,3198,flex
357515641,3295,3306,flex
357516641,3354,3399,flex
357517648,3367,3445,flex
357518650,3362,3431,flex
357519650,3335,3383,flex
357520650,3305,3327,flex
357521650,3264,3273,flex
357522656,3237,3248,flex
357523664,3265,3264,flex
357524670,3306,3327,flex
357525671,3378,3450,flex
357526676,2047,3694,flex
357527676,2047,3840,flex
357528680,2047,2047,flex
357529690,511,2047,flex
357530694,511,3135,flex
357531697,511,3135,flex
357532700,511,1535,flex
357533703,1023,2047,flex
357534706,2047,3849,flex
357535707,2047,3836,flex
357536714,2047,3839,flex
357537714,2047,3842,flex
357538714,2047,3860,flex
357539716,2047,3842,flex
357540725,2047,3820,flex
357541726,2047,3703,flex
357542730,3387,3535,flex
357543736,3386,3486,flex
357544739,3394,3519,flex
357545739,2047,3688,flex
357546741,2047,3830,flex
357547741,2047,2047,flex
357548746,511,1535,flex
357549749,3135,4032,flex
357550749,3584,4095,flex
357551755,3584,4095,flex
357552763,3135,4032,flex
357553765,1023,2047,flex
357554765,2047,3707,flex
357555774,3343,3378,flex
357556776,3215,3235,flex
357557777,3322,3292,flex
357558787,3467,3449,flex
357559793,3530,3514,flex
357560801,3460,3438,flex
357561810,3199,3214,flex
357562812,3368,3427,flex
357563818,2047,3812,flex
357564828,2047,2047,flex
357565838,511,2047,flex
357566841,511,3135,flex
357567841,3135,4037,flex
357568848,3584,4095,flex
357569853,3584,4095,flex
357570861,511,2047,flex
357571861,2047,3811,flex
357572867,3378,3440,flex
357573867,3311,3334,flex
357574873,3311,3327,flex
357575875,3350,3378,flex
357576876,3379,3466,flex
357577883,2047,3651,flex
357578891,2047,3827,flex
357579891,2047,3856,flex
357580901,1023,2047,flex
357581901,511,3135,flex
357582903,3584,4095,flex
357583903,3968,4095,flex
357584910,3840,4095,flex
357585911,511,3135,flex
357586919,2047,3840,flex
357587928,3385,3495,flex
357588937,3263,3263,flex
357589946,3338,3312,flex
357590955,3523,3507,flex
357591958,3580,3568,flex
357592963,3529,3514,flex
357593966,3361,3336,flex
357594967,3210,3224,flex
357595970,3303,3339,flex
357596979,3367,3463,flex
357597985,3398,3585,flex
357598986,2047,3754,flex
357599995,2047,3823,flex
357600996,2047,3843,flex
357601999,2047,2047,flex
357603001,1023,2047,flex
357604004,511,2047,flex
357605007,3135,4032,flex
357606011,1023,2047,flex
357607016,2047,3652,flex
357608016,3315,3336,flex
357609018,3199,3208,flex
357610028,3293,3264,flex
357611038,3368,3347,flex
357612042,3379,3358,flex
357613042,3301,3271,flex
